TYPE	ACCESSION	ALIAS
SAMPLE	ERS23798745	CAE10Z
SAMPLE	ERS23798746	CAH117
SAMPLE	ERS23798747	CAB15Y
SAMPLE	ERS23798748	CAC11P
SAMPLE	ERS23798749	CAC11Q
SAMPLE	ERS23798750	CAB15Z
SAMPLE	ERS23798751	CAH118
SAMPLE	ERS23798752	CAI10G
SAMPLE	ERS23798753	CAE10Y
SAMPLE	ERS23798754	CAN101
SAMPLE	ERS23798755	CAB160
SAMPLE	ERS23798756	CAM10N
SAMPLE	ERS23798757	CAD13U
SAMPLE	ERS23798758	CAB162
SAMPLE	ERS23798759	CAD10K
SAMPLE	ERS23798760	CAC11R
SAMPLE	ERS23798761	CAB161
SAMPLE	ERS23798762	CAG11V
SAMPLE	ERS23798763	CAE111
SAMPLE	ERS23798764	CAE112
SAMPLE	ERS23798765	CAG11W
SAMPLE	ERS23798766	CAM10Q
SAMPLE	ERS23798767	CAC135
SAMPLE	ERS23798768	CAC134
SAMPLE	ERS23798769	CAE106
SAMPLE	ERS23798770	CAG11Y
SAMPLE	ERS23798771	CAI10K
SAMPLE	ERS23798772	CAD13Y
SAMPLE	ERS23798773	CAD136
SAMPLE	ERS23798774	CAC129
SAMPLE	ERS23798775	CAM10K
SAMPLE	ERS23798776	CAJ103
SAMPLE	ERS23798777	CAL10T
SAMPLE	ERS23798778	CAL10U
SAMPLE	ERS23798779	CAL10V
SAMPLE	ERS23798780	CAD10J
SAMPLE	ERS23798781	CAD13P
SAMPLE	ERS23798782	CAI10D
SAMPLE	ERS23798783	CAD137
SAMPLE	ERS23798784	CAB15F
SAMPLE	ERS23798785	CAB15G
SAMPLE	ERS23798786	CAI10E
SAMPLE	ERS23798787	CAH10J
SAMPLE	ERS23798788	CAD13Q
SAMPLE	ERS23798789	CAC12A
SAMPLE	ERS23798790	CAL10W
SAMPLE	ERS23798791	CAH100
SAMPLE	ERS23798792	CAB12C
SAMPLE	ERS23798793	CAB15H
SAMPLE	ERS23798794	CAD13R
SAMPLE	ERS23798795	CAC12C
SAMPLE	ERS23798796	CAG120
SAMPLE	ERS23798797	CAE12H
SAMPLE	ERS23798798	CAC133
SAMPLE	ERS23798799	CAI10L
SAMPLE	ERS23798800	CAC11S
SAMPLE	ERS23798801	CAC12Z
SAMPLE	ERS23798802	CAD10I
SAMPLE	ERS23798803	CAG11X
SAMPLE	ERS23798804	CAB164
SAMPLE	ERS23798805	CAD13V
SAMPLE	ERS23798806	CAM10P
SAMPLE	ERS23798807	CAG11U
SAMPLE	ERS23798808	CAB165
SAMPLE	ERS23798809	CAG11G
SAMPLE	ERS23798810	CAE114
SAMPLE	ERS23798811	CAC130
SAMPLE	ERS23798812	CAG11H
SAMPLE	ERS23798813	CAE104
SAMPLE	ERS23798814	CAB166
SAMPLE	ERS23798815	CAE115
SAMPLE	ERS23798816	CAH119
SAMPLE	ERS23798817	CAD13W
SAMPLE	ERS23798818	CAE12E
SAMPLE	ERS23798819	CAE116
SAMPLE	ERS23798820	CAH11A
SAMPLE	ERS23798821	CAH11C
SAMPLE	ERS23798822	CAD13X
SAMPLE	ERS23798823	CAF10F
SAMPLE	ERS23798824	CAC10S
SAMPLE	ERS23798825	CAI10J
SAMPLE	ERS23798826	CAF10G
SAMPLE	ERS23798827	CAC132
SAMPLE	ERS23798828	CAB15S
SAMPLE	ERS23798829	CAG11I
SAMPLE	ERS23798830	CAH11D
SAMPLE	ERS23798831	CAJ106
SAMPLE	ERS23798832	CAH11E
SAMPLE	ERS23798833	CAE12F
SAMPLE	ERS23798834	CAF10I
SAMPLE	ERS23798835	CAC10R
SAMPLE	ERS23798836	CAB15R
SAMPLE	ERS23798837	CAF10E
SAMPLE	ERS23798838	CAE12G
SAMPLE	ERS23798839	CAJ108
SAMPLE	ERS23798840	CAJ107
SAMPLE	ERS23798841	CAK10L
SAMPLE	ERS23798842	CAH11F
SAMPLE	ERS23798843	CAF11A
SAMPLE	ERS23798844	CAB17X
SAMPLE	ERS23798845	CAC10Q
SAMPLE	ERS23798846	CAB181
SAMPLE	ERS23798847	CAF11B
SAMPLE	ERS23798848	CAK10U
SAMPLE	ERS23798849	CAJ10P
SAMPLE	ERS23798850	CAJ10N
SAMPLE	ERS23798851	CAD14H
SAMPLE	ERS23798852	CAE11K
SAMPLE	ERS23798853	CAB180
SAMPLE	ERS23798854	CAL11B
SAMPLE	ERS23798855	CAC143
SAMPLE	ERS23798856	CAL104
SAMPLE	ERS23798857	CAC145
SAMPLE	ERS23798858	CAC141
SAMPLE	ERS23798859	CAK101
SAMPLE	ERS23798860	CAB183
SAMPLE	ERS23798861	CAB186
SAMPLE	ERS23798862	CAF11C
SAMPLE	ERS23798863	CAM113
SAMPLE	ERS23798864	CAC146
SAMPLE	ERS23798865	CAC142
SAMPLE	ERS23798866	CAM114
