Reads	Human_reads_removed
Sample_152-CAB114_4C7_1.fastq.gz	868089
Sample_152-CAB114_4C7_2.fastq.gz	868089
Sample_153-CAD100_4C8_1.fastq.gz	33496
Sample_153-CAD100_4C8_2.fastq.gz	33496
Sample_154-CAD101_4D1_1.fastq.gz	726803
Sample_154-CAD101_4D1_2.fastq.gz	726803
Sample_155-CAD102_4D3_1.fastq.gz	15669
Sample_155-CAD102_4D3_2.fastq.gz	15669
Sample_156-CAC109_4D4_1.fastq.gz	14708
Sample_156-CAC109_4D4_2.fastq.gz	14708
Sample_157-NC_4_D5_1.fastq.gz	24546
Sample_157-NC_4_D5_2.fastq.gz	24546
Sample_158-CAB10S_4D6_1.fastq.gz	1844432
Sample_158-CAB10S_4D6_2.fastq.gz	1844432
Sample_159-CAC10A_4D7_1.fastq.gz	290271
Sample_159-CAC10A_4D7_2.fastq.gz	290271
Sample_15-CAB11L_1C1_1.fastq.gz	359497
Sample_15-CAB11L_1C1_2.fastq.gz	359497
Sample_160-CAD103_4D8_1.fastq.gz	30595
Sample_160-CAD103_4D8_2.fastq.gz	30595
Sample_161-CAD104_4D9_1.fastq.gz	144998
Sample_161-CAD104_4D9_2.fastq.gz	144998
Sample_162-CAB10T_4E1_1.fastq.gz	37060909
Sample_162-CAB10T_4E1_2.fastq.gz	37060909
Sample_163-CAD105_4E3_1.fastq.gz	55321
Sample_163-CAD105_4E3_2.fastq.gz	55321
Sample_164-CAC10C_4E5_1.fastq.gz	532638
Sample_164-CAC10C_4E5_2.fastq.gz	532638
Sample_165-CAB115_4E6_1.fastq.gz	678524
Sample_165-CAB115_4E6_2.fastq.gz	678524
Sample_166-CAB116_4E7_1.fastq.gz	1061120
Sample_166-CAB116_4E7_2.fastq.gz	1061120
Sample_167-CAB117_4E8_1.fastq.gz	258362
Sample_167-CAB117_4E8_2.fastq.gz	258362
Sample_168-CAB118_4E9_1.fastq.gz	37655
Sample_168-CAB118_4E9_2.fastq.gz	37655
Sample_169-CAD106_4F1_1.fastq.gz	11617161
Sample_169-CAD106_4F1_2.fastq.gz	11617161
Sample_16-CAI100_1C3_1.fastq.gz	8896
Sample_16-CAI100_1C3_2.fastq.gz	8896
Sample_170-CAC10D_4F2_1.fastq.gz	1283701
Sample_170-CAC10D_4F2_2.fastq.gz	1283701
Sample_171-CAC10E_4F4_1.fastq.gz	44619
Sample_171-CAC10E_4F4_2.fastq.gz	44619
Sample_172-CAC10F_4F5_1.fastq.gz	1230278
Sample_172-CAC10F_4F5_2.fastq.gz	1230278
Sample_173-NC_4_F6_1.fastq.gz	37299
Sample_173-NC_4_F6_2.fastq.gz	37299
Sample_174-CAB11B_4F7_1.fastq.gz	415268
Sample_174-CAB11B_4F7_2.fastq.gz	415268
Sample_175-CAC10H_4G2_1.fastq.gz	222738
Sample_175-CAC10H_4G2_2.fastq.gz	222738
Sample_176-CAC10I_4G3_1.fastq.gz	1634826
Sample_176-CAC10I_4G3_2.fastq.gz	1634826
Sample_177-CAC10G_4G4_1.fastq.gz	41869
Sample_177-CAC10G_4G4_2.fastq.gz	41869
Sample_178-CAD10A_4G6_1.fastq.gz	35410
Sample_178-CAD10A_4G6_2.fastq.gz	35410
Sample_179-CAL100_4G8_1.fastq.gz	56608
Sample_179-CAL100_4G8_2.fastq.gz	56608
