Reads	Human_reads_removed
Sample_325-CAE116_7F8_2.fastq.gz	54418
Sample_326-CAH11A_7F9_1.fastq.gz	62266
Sample_326-CAH11A_7F9_2.fastq.gz	62266
Sample_327-CAH11C_7G1_1.fastq.gz	1222963
Sample_327-CAH11C_7G1_2.fastq.gz	1222963
Sample_328-CAD13X_7G3_1.fastq.gz	1756038
Sample_328-CAD13X_7G3_2.fastq.gz	1756038
Sample_329-CAF10F_7G4_1.fastq.gz	53514
Sample_329-CAF10F_7G4_2.fastq.gz	53514
Sample_32-CAC10S_1G1_1.fastq.gz	41786
Sample_32-CAC10S_1G1_2.fastq.gz	41786
Sample_330-CAI10J_7G5_1.fastq.gz	875454
Sample_330-CAI10J_7G5_2.fastq.gz	875454
Sample_331-CAF10G_7G6_1.fastq.gz	121463
Sample_331-CAF10G_7G6_2.fastq.gz	121463
Sample_332-CAC132_7G7_1.fastq.gz	675312
Sample_332-CAC132_7G7_2.fastq.gz	675312
Sample_333-CAB15S_7G8_1.fastq.gz	265933
Sample_333-CAB15S_7G8_2.fastq.gz	265933
Sample_334-CAG11I_7G9_1.fastq.gz	30568524
Sample_334-CAG11I_7G9_2.fastq.gz	30568524
Sample_335-CAH11D_7H1_1.fastq.gz	98196
Sample_335-CAH11D_7H1_2.fastq.gz	98196
Sample_336-CAJ106_7H2_1.fastq.gz	38434
Sample_336-CAJ106_7H2_2.fastq.gz	38434
Sample_337-CAH11E_7H3_1.fastq.gz	2010882
Sample_337-CAH11E_7H3_2.fastq.gz	2010882
Sample_338-CAE12F_7H4_1.fastq.gz	207632
Sample_338-CAE12F_7H4_2.fastq.gz	207632
Sample_339-CAF10I_7H5_1.fastq.gz	90112
Sample_339-CAF10I_7H5_2.fastq.gz	90112
Sample_33-CAC10R_1G2_1.fastq.gz	30324
Sample_33-CAC10R_1G2_2.fastq.gz	30324
Sample_340-CAB15R_7H6_1.fastq.gz	3141984
Sample_340-CAB15R_7H6_2.fastq.gz	3141984
Sample_341-CAF10E_7H8_1.fastq.gz	35355
Sample_341-CAF10E_7H8_2.fastq.gz	35355
Sample_342-CAE12G_7H9_1.fastq.gz	107628
Sample_342-CAE12G_7H9_2.fastq.gz	107628
Sample_343-CAJ108_7I2_1.fastq.gz	32727
Sample_343-CAJ108_7I2_2.fastq.gz	32727
Sample_344-CAJ107_7I3_1.fastq.gz	110460
Sample_344-CAJ107_7I3_2.fastq.gz	110460
Sample_345-CAK10L_7I4_1.fastq.gz	35666
Sample_345-CAK10L_7I4_2.fastq.gz	35666
Sample_346-CAH11F_7I5_1.fastq.gz	72051
Sample_346-CAH11F_7I5_2.fastq.gz	72051
Sample_347-NC_7_I6_1.fastq.gz	47013
Sample_347-NC_7_I6_2.fastq.gz	47013
Sample_348-CAF11A_8A2_1.fastq.gz	1432451
Sample_348-CAF11A_8A2_2.fastq.gz	1432451
Sample_349-CAB17X_8A4_1.fastq.gz	255883
Sample_349-CAB17X_8A4_2.fastq.gz	255883
Sample_34-CAC10Q_1G3_1.fastq.gz	204553
Sample_34-CAC10Q_1G3_2.fastq.gz	204553
Sample_350-CAB181_8A7_1.fastq.gz	23295
Sample_350-CAB181_8A7_2.fastq.gz	23295
Sample_351-CAF11B_8A9_1.fastq.gz	53435712
Sample_351-CAF11B_8A9_2.fastq.gz	53435712
Sample_352-CAK10U_8B1_1.fastq.gz	112336
Sample_352-CAK10U_8B1_2.fastq.gz	112336
Sample_353-CAJ10P_8B2_1.fastq.gz	221540
Sample_353-CAJ10P_8B2_2.fastq.gz	221540
Sample_354-CAJ10N_8B3_1.fastq.gz	56492
Sample_354-CAJ10N_8B3_2.fastq.gz	56492
Sample_355-CAD14H_8B4_1.fastq.gz	688992
Sample_355-CAD14H_8B4_2.fastq.gz	688992
Sample_356-CAE11K_8B5_1.fastq.gz	53916
Sample_356-CAE11K_8B5_2.fastq.gz	53916
Sample_357-CAB180_8B6_1.fastq.gz	28390
Sample_357-CAB180_8B6_2.fastq.gz	28390
Sample_358-CAL11B_8C2_1.fastq.gz	47699
Sample_358-CAL11B_8C2_2.fastq.gz	47699
Sample_359-CAC143_8C3_1.fastq.gz	21692
Sample_359-CAC143_8C3_2.fastq.gz	21692
Sample_35-CAL104_1G4_1.fastq.gz	59971
Sample_35-CAL104_1G4_2.fastq.gz	59971
Sample_360-CAC145_8C4_1.fastq.gz	38154
Sample_360-CAC145_8C4_2.fastq.gz	38154
Sample_361-CAC141_8C6_1.fastq.gz	37358
Sample_361-CAC141_8C6_2.fastq.gz	37358
Sample_362-CAK101_8C7_1.fastq.gz	23152
Sample_362-CAK101_8C7_2.fastq.gz	23152
Sample_363-CAB183_8C9_1.fastq.gz	42022
Sample_363-CAB183_8C9_2.fastq.gz	42022
Sample_364-CAB186_8D2_1.fastq.gz	98923
Sample_364-CAB186_8D2_2.fastq.gz	98923
Sample_365-CAF11C_8D4_1.fastq.gz	2343788
Sample_365-CAF11C_8D4_2.fastq.gz	2343788
Sample_366-CAM113_8D5_1.fastq.gz	33898
Sample_366-CAM113_8D5_2.fastq.gz	33898
Sample_367-CAC146_8D6_1.fastq.gz	27213
Sample_367-CAC146_8D6_2.fastq.gz	27213
Sample_368-CAC142_8E1_1.fastq.gz	22706
Sample_368-CAC142_8E1_2.fastq.gz	22706
Sample_369-CAM114_8E3_1.fastq.gz	76097
Sample_369-CAM114_8E3_2.fastq.gz	76097
Sample_36-CAB11W_1G5_1.fastq.gz	975651
Sample_36-CAB11W_1G5_2.fastq.gz	975651
Sample_370-CAC149_8E4_1.fastq.gz	2691609
Sample_370-CAC149_8E4_2.fastq.gz	2691609
Sample_371-CAM116_8E6_1.fastq.gz	36950
Sample_371-CAM116_8E6_2.fastq.gz	36950
Sample_372-CAK103_8E8_1.fastq.gz	35290
Sample_372-CAK103_8E8_2.fastq.gz	35290
Sample_373-CAK102_8E9_1.fastq.gz	54567
Sample_373-CAK102_8E9_2.fastq.gz	54567
Sample_374-CAD14K_8F2_1.fastq.gz	60440
Sample_374-CAD14K_8F2_2.fastq.gz	60440
Sample_375-NC_8_F3_1.fastq.gz	102708
Sample_375-NC_8_F3_2.fastq.gz	102708
Sample_376-CAD12G_8F4_1.fastq.gz	52544
Sample_376-CAD12G_8F4_2.fastq.gz	52544
Sample_377-CAD12H_8F5_1.fastq.gz	85175
Sample_377-CAD12H_8F5_2.fastq.gz	85175
Sample_378-CAB198_8G1_1.fastq.gz	400598
Sample_378-CAB198_8G1_2.fastq.gz	400598
Sample_379-CAE12Y_8G3_1.fastq.gz	1231
Sample_379-CAE12Y_8G3_2.fastq.gz	1231
Sample_37-CAL103_1G6_1.fastq.gz	45262
Sample_37-CAL103_1G6_2.fastq.gz	45262
Sample_380-CAN10X_8G4_1.fastq.gz	92956
Sample_380-CAN10X_8G4_2.fastq.gz	92956
Sample_381-CAE12Z_8G8_1.fastq.gz	63286
Sample_381-CAE12Z_8G8_2.fastq.gz	63286
Sample_382-CAD12M_8G9_1.fastq.gz	70342
Sample_382-CAD12M_8G9_2.fastq.gz	70342
Sample_383-CAC140_8H3_1.fastq.gz	1099408
Sample_383-CAC140_8H3_2.fastq.gz	1099408
Sample_384-CAB17W_8H4_1.fastq.gz	149767
Sample_384-CAB17W_8H4_2.fastq.gz	149767
Sample_385-CAL11A_8H6_1.fastq.gz	81835668
Sample_385-CAL11A_8H6_2.fastq.gz	81835668
Sample_386-CAB17R_8H7_1.fastq.gz	918610
Sample_386-CAB17R_8H7_2.fastq.gz	918610
Sample_387-NC_8_I2_1.fastq.gz	76092
Sample_387-NC_8_I2_2.fastq.gz	76092
Sample_388-CAK10S_9A1_1.fastq.gz	78566
Sample_388-CAK10S_9A1_2.fastq.gz	78566
Sample_389-CAN171_9A2_1.fastq.gz	34569
Sample_389-CAN171_9A2_2.fastq.gz	34569
Sample_38-CAE103_1G8_1.fastq.gz	68341954
Sample_38-CAE103_1G8_2.fastq.gz	68341954
Sample_390-CAM11C_9A5_1.fastq.gz	46467
Sample_390-CAM11C_9A5_2.fastq.gz	46467
Sample_391-CAM11B_9A6_1.fastq.gz	41015
Sample_391-CAM11B_9A6_2.fastq.gz	41015
Sample_392-CAF11K_9B6_1.fastq.gz	173926
Sample_392-CAF11K_9B6_2.fastq.gz	173926
Sample_393-CAF11J_9B7_1.fastq.gz	38034
Sample_393-CAF11J_9B7_2.fastq.gz	38034
Sample_394-CAF11I_9B8_1.fastq.gz	63003
Sample_394-CAF11I_9B8_2.fastq.gz	63003
Sample_395-CAE133_9B9_1.fastq.gz	28504
Sample_395-CAE133_9B9_2.fastq.gz	28504
Sample_396-CAJ10S_9C3_1.fastq.gz	225216
Sample_396-CAJ10S_9C3_2.fastq.gz	225216
Sample_397-CAD11Y_9C6_1.fastq.gz	111392
Sample_397-CAD11Y_9C6_2.fastq.gz	111392
Sample_398-CAD11X_9C7_1.fastq.gz	17958
Sample_398-CAD11X_9C7_2.fastq.gz	17958
Sample_399-CAD11W_9C9_1.fastq.gz	54235
Sample_399-CAD11W_9C9_2.fastq.gz	54235
Sample_39-CAM102_1G9_1.fastq.gz	42044
Sample_39-CAM102_1G9_2.fastq.gz	42044
Sample_3-CAB12B_1A3_1.fastq.gz	1249719
Sample_3-CAB12B_1A3_2.fastq.gz	1249719
Sample_400-CAC14M_9D2_1.fastq.gz	2195160
Sample_400-CAC14M_9D2_2.fastq.gz	2195160
Sample_401-CAC14L_9D4_1.fastq.gz	32740
Sample_401-CAC14L_9D4_2.fastq.gz	32740
Sample_402-CAD11V_9D8_1.fastq.gz	44876
Sample_402-CAD11V_9D8_2.fastq.gz	44876
Sample_403-CAB18D_9D9_1.fastq.gz	107273
Sample_403-CAB18D_9D9_2.fastq.gz	107273
Sample_404-CAD11U_9E1_1.fastq.gz	27447
Sample_404-CAD11U_9E1_2.fastq.gz	27447
Sample_405-CAB18C_9E2_1.fastq.gz	1699402
Sample_405-CAB18C_9E2_2.fastq.gz	1699402
Sample_406-CAC14K_9E3_1.fastq.gz	2890422
Sample_406-CAC14K_9E3_2.fastq.gz	2890422
Sample_407-CAK116_9E7_1.fastq.gz	66173
Sample_407-CAK116_9E7_2.fastq.gz	66173
Sample_408-NC_9_F1_1.fastq.gz	506231
Sample_408-NC_9_F1_2.fastq.gz	506231
Sample_409-CAF118_9F7_1.fastq.gz	170801
Sample_409-CAF118_9F7_2.fastq.gz	170801
Sample_40-CAC10T_1H3_1.fastq.gz	59024
Sample_40-CAC10T_1H3_2.fastq.gz	59024
Sample_410-CAF119_9F8_1.fastq.gz	28054
Sample_410-CAF119_9F8_2.fastq.gz	28054
Sample_411-CAE11H_9G9_1.fastq.gz	156622
Sample_411-CAE11H_9G9_2.fastq.gz	156622
Sample_412-CAI110_9H1_1.fastq.gz	56260
Sample_412-CAI110_9H1_2.fastq.gz	56260
Sample_413-NC_9_H3_1.fastq.gz	38990
Sample_413-NC_9_H3_2.fastq.gz	38990
Sample_414-CAC13S_9I2_1.fastq.gz	50055
Sample_414-CAC13S_9I2_2.fastq.gz	50055
Sample_415-CAD13F_9I3_1.fastq.gz	89939
Sample_415-CAD13F_9I3_2.fastq.gz	89939
Sample_416-CAB17P_9I4_1.fastq.gz	74428
Sample_416-CAB17P_9I4_2.fastq.gz	74428
Sample_417-CAD146_9I9_1.fastq.gz	1174456
Sample_417-CAD146_9I9_2.fastq.gz	1174456
Sample_418-CAD145_10A1_1.fastq.gz	86794
Sample_418-CAD145_10A1_2.fastq.gz	86794
Sample_419-CAD13H_10A3_1.fastq.gz	21768
Sample_419-CAD13H_10A3_2.fastq.gz	21768
Sample_41-NC_1_H4_1.fastq.gz	11547
Sample_41-NC_1_H4_2.fastq.gz	11547
Sample_420-CAB17Q_10A5_1.fastq.gz	1827979
Sample_420-CAB17Q_10A5_2.fastq.gz	1827979
Sample_421-CAL119_10A6_1.fastq.gz	33631
Sample_421-CAL119_10A6_2.fastq.gz	33631
Sample_422-CAL116_10A7_1.fastq.gz	71215
Sample_422-CAL116_10A7_2.fastq.gz	71215
Sample_423-CAC13U_10B3_1.fastq.gz	408757
Sample_423-CAC13U_10B3_2.fastq.gz	408757
Sample_424-CAB17M_10B5_1.fastq.gz	5690014
Sample_424-CAB17M_10B5_2.fastq.gz	5690014
Sample_425-CAI10Z_10B9_1.fastq.gz	29019
Sample_425-CAI10Z_10B9_2.fastq.gz	29019
Sample_426-CAM112_10C2_1.fastq.gz	26940
Sample_426-CAM112_10C2_2.fastq.gz	26940
Sample_427-CAC13X_10C3_1.fastq.gz	931912
Sample_427-CAC13X_10C3_2.fastq.gz	931912
Sample_428-CAC13H_10C8_1.fastq.gz	688193
Sample_428-CAC13H_10C8_2.fastq.gz	688193
Sample_429-NC_10_D4_1.fastq.gz	54276
Sample_429-NC_10_D4_2.fastq.gz	54276
Sample_42-CAB11U_1H7_1.fastq.gz	6768
Sample_42-CAB11U_1H7_2.fastq.gz	6768
Sample_430-CAL114_10D7_1.fastq.gz	81495
Sample_430-CAL114_10D7_2.fastq.gz	81495
Sample_431-CAG11J_10D8_1.fastq.gz	106945
Sample_431-CAG11J_10D8_2.fastq.gz	106945
Sample_432-CAD141_10D9_1.fastq.gz	223337
Sample_432-CAD141_10D9_2.fastq.gz	223337
Sample_433-CAB167_10E1_1.fastq.gz	73326
Sample_433-CAB167_10E1_2.fastq.gz	73326
Sample_434-CAI10P_10E4_1.fastq.gz	33840
Sample_434-CAI10P_10E4_2.fastq.gz	33840
Sample_435-CAE12Q_10E5_1.fastq.gz	54707
Sample_435-CAE12Q_10E5_2.fastq.gz	54707
Sample_436-CAC138_10E6_1.fastq.gz	251891
Sample_436-CAC138_10E6_2.fastq.gz	251891
Sample_437-CAE12N_10E7_1.fastq.gz	60199
Sample_437-CAE12N_10E7_2.fastq.gz	60199
Sample_438-CAE12P_10E8_1.fastq.gz	168883
Sample_438-CAE12P_10E8_2.fastq.gz	168883
Sample_439-CAD142_10E9_1.fastq.gz	62138
Sample_439-CAD142_10E9_2.fastq.gz	62138
Sample_43-CAC102_1I1_1.fastq.gz	43932117
Sample_43-CAC102_1I1_2.fastq.gz	43932117
Sample_440-CAE12R_10F2_1.fastq.gz	58273
Sample_440-CAE12R_10F2_2.fastq.gz	58273
Sample_441-CAC139_10F3_1.fastq.gz	53309
Sample_441-CAC139_10F3_2.fastq.gz	53309
Sample_442-CAN102_10F4_1.fastq.gz	43737
Sample_442-CAN102_10F4_2.fastq.gz	43737
Sample_443-CAI10M_10F5_1.fastq.gz	43493
Sample_443-CAI10M_10F5_2.fastq.gz	43493
Sample_444-CAH11G_10F7_1.fastq.gz	1097062
Sample_444-CAH11G_10F7_2.fastq.gz	1097062
Sample_445-CAL118_10F8_1.fastq.gz	72779
Sample_445-CAL118_10F8_2.fastq.gz	72779
Sample_446-NC_10_G2_1.fastq.gz	61952
Sample_446-NC_10_G2_2.fastq.gz	61952
Sample_447-CAM10T_10G3_1.fastq.gz	37000
Sample_447-CAM10T_10G3_2.fastq.gz	37000
Sample_448-CAE12L_10G4_1.fastq.gz	153972
Sample_448-CAE12L_10G4_2.fastq.gz	153972
Sample_449-CAB15U_10G8_1.fastq.gz	118942
Sample_449-CAB15U_10G8_2.fastq.gz	118942
Sample_44-CAD10F_1I2_1.fastq.gz	2649122
Sample_44-CAD10F_1I2_2.fastq.gz	2649122
Sample_450-CAH11H_10H2_1.fastq.gz	7657
Sample_450-CAH11H_10H2_2.fastq.gz	7657
Sample_451-CAB15T_10H5_1.fastq.gz	33481929
Sample_451-CAB15T_10H5_2.fastq.gz	33481929
Sample_452-CAD118_10H6_1.fastq.gz	27789
Sample_452-CAD118_10H6_2.fastq.gz	27789
Sample_453-CAE12I_10H7_1.fastq.gz	144862
Sample_453-CAE12I_10H7_2.fastq.gz	144862
Sample_454-CAF10J_10H8_1.fastq.gz	139575
Sample_454-CAF10J_10H8_2.fastq.gz	139575
Sample_455-CAE12K_10H9_1.fastq.gz	1095605
Sample_455-CAE12K_10H9_2.fastq.gz	1095605
Sample_456-CAI10S_10I5_1.fastq.gz	49115
Sample_456-CAI10S_10I5_2.fastq.gz	49115
Sample_457-CAM10V_10I6_1.fastq.gz	4756332
Sample_457-CAM10V_10I6_2.fastq.gz	4756332
Sample_458-CAD139_10I7_1.fastq.gz	137490
Sample_458-CAD139_10I7_2.fastq.gz	137490
Sample_459-CAF10P_11A1_1.fastq.gz	345415
Sample_459-CAF10P_11A1_2.fastq.gz	345415
Sample_45-CAM100_1I7_1.fastq.gz	91651
Sample_45-CAM100_1I7_2.fastq.gz	91651
Sample_460-CAE117_11A2_1.fastq.gz	132974
Sample_460-CAE117_11A2_2.fastq.gz	132974
Sample_461-CAF10Q_11A3_1.fastq.gz	91052
Sample_461-CAF10Q_11A3_2.fastq.gz	91052
Sample_462-CAJ10A_11A4_1.fastq.gz	37254
Sample_462-CAJ10A_11A4_2.fastq.gz	37254
Sample_463-CAE12M_11A5_1.fastq.gz	23949
Sample_463-CAE12M_11A5_2.fastq.gz	23949
Sample_464-CAI10N_11A6_1.fastq.gz	44106
Sample_464-CAI10N_11A6_2.fastq.gz	44106
Sample_465-CAC137_11A7_1.fastq.gz	138947
Sample_465-CAC137_11A7_2.fastq.gz	138947
Sample_466-CAK10M_11B2_1.fastq.gz	95775
Sample_466-CAK10M_11B2_2.fastq.gz	95775
Sample_467-CAG127_11B4_1.fastq.gz	411368
Sample_467-CAG127_11B4_2.fastq.gz	411368
Sample_468-CAH11I_11B5_1.fastq.gz	1063633
Sample_468-CAH11I_11B5_2.fastq.gz	1063633
Sample_469-CAJ10B_11B7_1.fastq.gz	33155
Sample_469-CAJ10B_11B7_2.fastq.gz	33155
Sample_46-CAB11T_1I9_1.fastq.gz	46204
Sample_46-CAB11T_1I9_2.fastq.gz	46204
Sample_470-CAI10R_11B8_1.fastq.gz	584683
Sample_470-CAI10R_11B8_2.fastq.gz	584683
Sample_471-CAG126_11B9_1.fastq.gz	26155
Sample_471-CAG126_11B9_2.fastq.gz	26155
Sample_472-CAD143_11C1_1.fastq.gz	56639
Sample_472-CAD143_11C1_2.fastq.gz	56639
Sample_473-CAD144_11C2_1.fastq.gz	27537
Sample_473-CAD144_11C2_2.fastq.gz	27537
Sample_474-CAN104_11C4_1.fastq.gz	38291
Sample_474-CAN104_11C4_2.fastq.gz	38291
Sample_475-NC_11_C5_1.fastq.gz	10
Sample_475-NC_11_C5_2.fastq.gz	10
Sample_47-CAD132_2A1_1.fastq.gz	37596
Sample_47-CAD132_2A1_2.fastq.gz	37596
Sample_48-CAC11J_2A2_1.fastq.gz	110117
Sample_48-CAC11J_2A2_2.fastq.gz	110117
Sample_49-CAC11K_2A3_1.fastq.gz	174926
Sample_49-CAC11K_2A3_2.fastq.gz	174926
Sample_4-CAC115_1A4_1.fastq.gz	1045346
Sample_4-CAC115_1A4_2.fastq.gz	1045346
Sample_50-CAD13J_2A4_1.fastq.gz	70263
Sample_50-CAD13J_2A4_2.fastq.gz	70263
Sample_51-CAH10G_2A6_1.fastq.gz	2679246
Sample_51-CAH10G_2A6_2.fastq.gz	2679246
Sample_52-CAD112_2A7_1.fastq.gz	92301
Sample_52-CAD112_2A7_2.fastq.gz	92301
Sample_53-CAC11Z_2A8_1.fastq.gz	123090
Sample_53-CAC11Z_2A8_2.fastq.gz	123090
Sample_54-CAH10D_2A9_1.fastq.gz	1052539
Sample_54-CAH10D_2A9_2.fastq.gz	1052539
Sample_55-CAB137_2B1_1.fastq.gz	88497
Sample_55-CAB137_2B1_2.fastq.gz	88497
Sample_56-CAH10B_2B2_1.fastq.gz	87974
Sample_56-CAH10B_2B2_2.fastq.gz	87974
Sample_57-CAC11X_2B3_1.fastq.gz	107456
Sample_57-CAC11X_2B3_2.fastq.gz	107456
Sample_58-CAF101_2B5_1.fastq.gz	3593510
Sample_58-CAF101_2B5_2.fastq.gz	3593510
Sample_59-CAD111_2B7_1.fastq.gz	28569
Sample_59-CAD111_2B7_2.fastq.gz	28569
Sample_5-CAD10T_1A5_1.fastq.gz	39585
Sample_5-CAD10T_1A5_2.fastq.gz	39585
Sample_60-CAD10W_2B9_1.fastq.gz	28896084
Sample_60-CAD10W_2B9_2.fastq.gz	28896084
Sample_61-CAI105_2C1_1.fastq.gz	60554
Sample_61-CAI105_2C1_2.fastq.gz	60554
Sample_62-CAD10V_2C3_1.fastq.gz	3307683
Sample_62-CAD10V_2C3_2.fastq.gz	3307683
Sample_63-CAC11F_2C4_1.fastq.gz	166449
Sample_63-CAC11F_2C4_2.fastq.gz	166449
Sample_64-CAL10K_2C6_1.fastq.gz	41775
Sample_64-CAL10K_2C6_2.fastq.gz	41775
Sample_65-CAI106_2C8_1.fastq.gz	273932
Sample_65-CAI106_2C8_2.fastq.gz	273932
Sample_66-CAB13M_2C9_1.fastq.gz	25617
Sample_66-CAB13M_2C9_2.fastq.gz	25617
Sample_67-CAL10J_2D1_1.fastq.gz	145381
Sample_67-CAL10J_2D1_2.fastq.gz	145381
Sample_68-CAI108_2D2_1.fastq.gz	624953
Sample_68-CAI108_2D2_2.fastq.gz	624953
Sample_69-CAI107_2D3_1.fastq.gz	33339
Sample_69-CAI107_2D3_2.fastq.gz	33339
Sample_6-CAB12A_1A6_1.fastq.gz	62485
Sample_6-CAB12A_1A6_2.fastq.gz	62485
Sample_70-CAG10I_2D4_1.fastq.gz	44821
Sample_70-CAG10I_2D4_2.fastq.gz	44821
Sample_71-CAM10C_2D5_1.fastq.gz	105764
Sample_71-CAM10C_2D5_2.fastq.gz	105764
Sample_72-CAD110_2D6_1.fastq.gz	40919
Sample_72-CAD110_2D6_2.fastq.gz	40919
Sample_73-CAG10K_2D7_1.fastq.gz	83116
Sample_73-CAG10K_2D7_2.fastq.gz	83116
Sample_74-CAB136_2E1_1.fastq.gz	43124
Sample_74-CAB136_2E1_2.fastq.gz	43124
Sample_75-CAC11G_2E2_1.fastq.gz	3554728
Sample_75-CAC11G_2E2_2.fastq.gz	3554728
Sample_76-CAD114_2E3_1.fastq.gz	232934
Sample_76-CAD114_2E3_2.fastq.gz	232934
Sample_77-CAI109_2E4_1.fastq.gz	1520325
Sample_77-CAI109_2E4_2.fastq.gz	1520325
Sample_78-CAC11Y_2E5_1.fastq.gz	58109
Sample_78-CAC11Y_2E5_2.fastq.gz	58109
Sample_79-CAD113_2E6_1.fastq.gz	39773
Sample_79-CAD113_2E6_2.fastq.gz	39773
Sample_7-NC_1_A7_1.fastq.gz	11304
Sample_7-NC_1_A7_2.fastq.gz	11304
Sample_80-CAB139_2E7_1.fastq.gz	537914
Sample_80-CAB139_2E7_2.fastq.gz	537914
Sample_81-CAB13A_2E8_1.fastq.gz	86956
Sample_81-CAB13A_2E8_2.fastq.gz	86956
Sample_82-CAM10G_2F1_1.fastq.gz	59766
Sample_82-CAM10G_2F1_2.fastq.gz	59766
Sample_83-CAD116_2F5_1.fastq.gz	60394
Sample_83-CAD116_2F5_2.fastq.gz	60394
Sample_84-CAB13C_2F6_1.fastq.gz	35092
Sample_84-CAB13C_2F6_2.fastq.gz	35092
Sample_85-CAF10L_2F8_1.fastq.gz	51155
Sample_85-CAF10L_2F8_2.fastq.gz	51155
Sample_86-CAB14W_2G3_1.fastq.gz	43427
Sample_86-CAB14W_2G3_2.fastq.gz	43427
Sample_87-CAB14X_2G9_1.fastq.gz	1724011
Sample_87-CAB14X_2G9_2.fastq.gz	1724011
Sample_88-CAG119_2H2_1.fastq.gz	63577
Sample_88-CAG119_2H2_2.fastq.gz	63577
Sample_89-CAC124_2H4_1.fastq.gz	288560
Sample_89-CAC124_2H4_2.fastq.gz	288560
Sample_8-CAH105_1A8_1.fastq.gz	28326
Sample_8-CAH105_1A8_2.fastq.gz	28326
Sample_90-CAL10M_2H5_1.fastq.gz	392078
Sample_90-CAL10M_2H5_2.fastq.gz	392078
Sample_91-CAJ100_2H7_1.fastq.gz	3460
Sample_91-CAJ100_2H7_2.fastq.gz	3460
Sample_92-CAG118_2H8_1.fastq.gz	44445
Sample_92-CAG118_2H8_2.fastq.gz	44445
Sample_93-NC_2_H9_1.fastq.gz	2914
Sample_93-NC_2_H9_2.fastq.gz	2914
Sample_94-CAM10A_2I1_1.fastq.gz	28543
Sample_94-CAM10A_2I1_2.fastq.gz	28543
Sample_95-CAM109_2I3_1.fastq.gz	1886
Sample_95-CAM109_2I3_2.fastq.gz	1886
Sample_96-CAE10I_2I4_1.fastq.gz	29712
Sample_96-CAE10I_2I4_2.fastq.gz	29712
Sample_97-CAD10X_2I5_1.fastq.gz	23823
Sample_97-CAD10X_2I5_2.fastq.gz	23823
Sample_98-CAM10B_2I7_1.fastq.gz	30956
Sample_98-CAM10B_2I7_2.fastq.gz	30956
Sample_99-CAC11D_2I8_1.fastq.gz	69585
Sample_99-CAC11D_2I8_2.fastq.gz	69585
Sample_9-CAC113_1A9_1.fastq.gz	142941
Sample_9-CAC113_1A9_2.fastq.gz	142941
