file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
Sample_254-CAJ104_6D6_1.fastq	FASTQ	DNA	101582100	5860212239	20	57.7	151
Sample_254-CAJ104_6D6_2.fastq	FASTQ	DNA	101582100	5851058048	20	57.6	151
Sample_255-CAE10Z_6D7_1.fastq	FASTQ	DNA	42897027	2995215292	20	69.8	151
Sample_255-CAE10Z_6D7_2.fastq	FASTQ	DNA	42897027	2991556144	20	69.7	151
Sample_256-CAH117_6D8_1.fastq	FASTQ	DNA	91481142	6864583736	20	75.0	151
Sample_256-CAH117_6D8_2.fastq	FASTQ	DNA	91481142	6849606471	20	74.9	151
Sample_257-CAB15Y_6D9_1.fastq	FASTQ	DNA	449769	43891590	20	97.6	151
Sample_257-CAB15Y_6D9_2.fastq	FASTQ	DNA	449769	43784729	20	97.3	151
Sample_258-CAC11P_6E1_1.fastq	FASTQ	DNA	32462544	3494286843	20	107.6	151
Sample_258-CAC11P_6E1_2.fastq	FASTQ	DNA	32462544	3469734929	20	106.9	151
Sample_259-NC_6_E3_1.fastq	FASTQ	DNA	225921	21017956	20	93.0	151
Sample_259-NC_6_E3_2.fastq	FASTQ	DNA	225921	20958192	20	92.8	151
Sample_25-NC_1_E4_1.fastq	FASTQ	DNA	167852	15010914	20	89.4	151
Sample_25-NC_1_E4_2.fastq	FASTQ	DNA	167852	14953173	20	89.1	151
Sample_260-CAC11Q_6E4_1.fastq	FASTQ	DNA	90758533	7777838540	20	85.7	151
Sample_260-CAC11Q_6E4_2.fastq	FASTQ	DNA	90758533	7755512709	20	85.5	151
Sample_261-CAB15Z_6E5_1.fastq	FASTQ	DNA	66948757	6690524662	20	99.9	151
Sample_261-CAB15Z_6E5_2.fastq	FASTQ	DNA	66948757	6673430322	20	99.7	151
Sample_262-CAH118_6E7_1.fastq	FASTQ	DNA	66372735	5526254682	20	83.3	151
Sample_262-CAH118_6E7_2.fastq	FASTQ	DNA	66372735	5512039642	20	83.0	151
Sample_263-CAI10G_6E9_1.fastq	FASTQ	DNA	74158900	5941940214	20	80.1	151
Sample_263-CAI10G_6E9_2.fastq	FASTQ	DNA	74158900	5928593208	20	79.9	151
Sample_264-CAE10Y_6F1_1.fastq	FASTQ	DNA	80968005	6689496583	20	82.6	151
Sample_264-CAE10Y_6F1_2.fastq	FASTQ	DNA	80968005	6674416057	20	82.4	151
Sample_265-CAN101_6F4_1.fastq	FASTQ	DNA	66648816	5844609519	20	87.7	151
Sample_265-CAN101_6F4_2.fastq	FASTQ	DNA	66648816	5830182527	20	87.5	151
Sample_266-CAB160_6F6_1.fastq	FASTQ	DNA	24251585	2453023709	20	101.1	151
Sample_266-CAB160_6F6_2.fastq	FASTQ	DNA	24251585	2443767307	20	100.8	151
Sample_267-CAM10N_6F7_1.fastq	FASTQ	DNA	71081505	5773226628	20	81.2	151
Sample_267-CAM10N_6F7_2.fastq	FASTQ	DNA	71081505	5762215794	20	81.1	151
Sample_268-CAD13U_6F8_1.fastq	FASTQ	DNA	59048825	4819732358	20	81.6	151
Sample_268-CAD13U_6F8_2.fastq	FASTQ	DNA	59048825	4808759031	20	81.4	151
Sample_269-CAB162_6F9_1.fastq	FASTQ	DNA	77365705	6739127861	20	87.1	151
Sample_269-CAB162_6F9_2.fastq	FASTQ	DNA	77365705	6727141435	20	87.0	151
Sample_26-CAD10K_1E7_1.fastq	FASTQ	DNA	61942597	6013794110	20	97.1	151
Sample_26-CAD10K_1E7_2.fastq	FASTQ	DNA	61942597	5992754676	20	96.7	151
Sample_270-CAC11R_6G1_1.fastq	FASTQ	DNA	73410821	6297449384	20	85.8	151
Sample_270-CAC11R_6G1_2.fastq	FASTQ	DNA	73410821	6284442804	20	85.6	151
Sample_271-CAB161_6G2_1.fastq	FASTQ	DNA	57248787	4769715004	20	83.3	151
Sample_271-CAB161_6G2_2.fastq	FASTQ	DNA	57248787	4761713425	20	83.2	151
Sample_272-CAG11V_6G3_1.fastq	FASTQ	DNA	80302148	6535739411	20	81.4	151
Sample_272-CAG11V_6G3_2.fastq	FASTQ	DNA	80302148	6525242668	20	81.3	151
Sample_273-CAE111_6G4_1.fastq	FASTQ	DNA	71608209	6591540829	20	92.1	151
Sample_273-CAE111_6G4_2.fastq	FASTQ	DNA	71608209	6574456130	20	91.8	151
Sample_274-CAE112_6G5_1.fastq	FASTQ	DNA	61110269	5304127160	20	86.8	151
Sample_274-CAE112_6G5_2.fastq	FASTQ	DNA	61110269	5289463488	20	86.6	151
Sample_275-CAG11W_6G6_1.fastq	FASTQ	DNA	49518036	4651923858	20	93.9	151
Sample_275-CAG11W_6G6_2.fastq	FASTQ	DNA	49518036	4639139395	20	93.7	151
Sample_276-CAM10Q_6G7_1.fastq	FASTQ	DNA	67885854	6043825625	20	89.0	151
Sample_276-CAM10Q_6G7_2.fastq	FASTQ	DNA	67885854	6025272665	20	88.8	151
Sample_277-NC_6_G9_1.fastq	FASTQ	DNA	980926	95961715	20	97.8	151
Sample_277-NC_6_G9_2.fastq	FASTQ	DNA	980926	95726760	20	97.6	151
Sample_278-CAC135_6H1_1.fastq	FASTQ	DNA	75490292	6684712096	20	88.6	151
Sample_278-CAC135_6H1_2.fastq	FASTQ	DNA	75490292	6666960397	20	88.3	151
Sample_279-CAC134_6H3_1.fastq	FASTQ	DNA	64718416	5589875013	20	86.4	151
Sample_279-CAC134_6H3_2.fastq	FASTQ	DNA	64718416	5570114043	20	86.1	151
