Class	Gene symbol	Sample_1-CAE10E_1A1_amr_results	Sample_10-CAE10B_1B1_amr_results	Sample_100-NC_2_I9_amr_results	Sample_101-CAB11P_3A1_amr_results	Sample_102-CAL10A_3A2_amr_results	Sample_103-CAD10R_3A5_amr_results	Sample_104-CAG10C_3A6_amr_results	Sample_105-CAL10B_3A7_amr_results	Sample_106-CAM107_3B1_amr_results	Sample_107-CAC11T_3B3_amr_results	Sample_108-CAI102_3B5_amr_results	Sample_109-CAC116_3B6_amr_results	Sample_11-CAD10P_1B3_amr_results	Sample_110-CAG10F_3C1_amr_results	Sample_111-CAL10C_3C2_amr_results	Sample_112-CAC117_3C4_amr_results	Sample_113-CAC11U_3C5_amr_results	Sample_114-NC_3_D1_amr_results	Sample_115-CAC118_3D2_amr_results	Sample_116-CAH107_3D3_amr_results	Sample_117-CAH108_3D4_amr_results	Sample_118-CAH109_3D5_amr_results	Sample_119-CAD10U_3E2_uncorrected_amr_results	Sample_12-CAD117_1B5_amr_results	Sample_120-CAB13F_3E4_uncorrected_amr_results	Sample_121-CAE10G_3E5_amr_results	Sample_122-CAL10G_3E6_amr_results	Sample_123-CAE10H_3E7_amr_results	Sample_124-CAI104_3E8_amr_results	Sample_125-CAF100_3F3_amr_results	Sample_126-NC_3_G1_uncorrected_amr_results	Sample_127-CAE10J_3G9_amr_results	Sample_128-CAC119_3H4_amr_results	Sample_129-NC_3_H5_amr_results	Sample_13-CAB11M_1B6_amr_results	Sample_130-CAD130_3H7_amr_results	Sample_131-CAM10I_3H8_amr_results	Sample_132-CAC125_3H9_amr_results	Sample_133-CAC11I_3I1_amr_results	Sample_134-CAC126_3I2_amr_results	Sample_135-CAF105_3I3_amr_results	Sample_136-CAG11A_3I5_amr_results	Sample_137-CAB153_3I6_uncorrected_amr_results	Sample_138-CAI10A_3I7_amr_results	Sample_139-CAI10B_3I8_amr_results	Sample_14-CAD10N_1B9_amr_results	Sample_140-CAM10J_3I9_amr_results	Sample_141-CAB10X_4A3_amr_results	Sample_142-CAB10Y_4A4_amr_results	Sample_143-CAB111_4A7_amr_results	Sample_144-CAC101_4A8_amr_results	Sample_145-CAC100_4A9_amr_results	Sample_146-CAC104_4B3_amr_results	Sample_147-CAC103_4B4_amr_results	Sample_148-NC_4_B6_amr_results	Sample_149-CAC105_4B8_amr_results	Sample_15-CAB11L_1C1_amr_results	Sample_150-CAB10N_4C4_amr_results	Sample_151-CAB10P_4C6_amr_results	Sample_152-CAB114_4C7_amr_results	Sample_153-CAD100_4C8_amr_results	Sample_154-CAD101_4D1_amr_results	Sample_155-CAD102_4D3_amr_results	Sample_156-CAC109_4D4_amr_results	Sample_157-NC_4_D5_amr_results	Sample_158-CAB10S_4D6_amr_results	Sample_159-CAC10A_4D7_amr_results	Sample_16-CAI100_1C3_amr_results	Sample_160-CAD103_4D8_amr_results	Sample_161-CAD104_4D9_amr_results	Sample_162-CAB10T_4E1_amr_results	Sample_163-CAD105_4E3_amr_results	Sample_164-CAC10C_4E5_amr_results	Sample_165-CAB115_4E6_amr_results	Sample_166-CAB116_4E7_amr_results	Sample_167-CAB117_4E8_amr_results	Sample_168-CAB118_4E9_amr_results	Sample_169-CAD106_4F1_amr_results	Sample_17-CAE10A_1C4_amr_results	Sample_170-CAC10D_4F2_amr_results	Sample_171-CAC10E_4F4_amr_results	Sample_172-CAC10F_4F5_amr_results	Sample_173-NC_4_F6_amr_results	Sample_174-CAB11B_4F7_amr_results	Sample_175-CAC10H_4G2_amr_results	Sample_176-CAC10I_4G3_amr_results	Sample_177-CAC10G_4G4_amr_results	Sample_178-CAD10A_4G6_uncorrected_amr_results	Sample_179-CAL100_4G8_amr_results	Sample_18-CAC112_1C5_amr_results	Sample_180-CAD109_4G9_amr_results	Sample_181-CAC10L_4H3_amr_results	Sample_182-CAD10B_4H5_amr_results	Sample_183-CAL102_4H8_amr_results	Sample_184-CAD108_4I1_amr_results	Sample_185-CAD10C_4I2_amr_results	Sample_186-CAD10E_4I4_amr_results	Sample_187-CAB16E_5A1_amr_results	Sample_188-CAE11S_5A2_amr_results	Sample_189-CAH10L_5A3_amr_results	Sample_19-CAH103_1C8_amr_results	Sample_190-CAF10U_5A7_amr_results	Sample_191-CAK10P_5B2_amr_results	Sample_192-CAB16J_5B3_uncorrected_amr_results	Sample_193-CAB16K_5B4_amr_results	Sample_194-CAB16G_5B5_amr_results	Sample_195-CAL113_5B6_uncorrected_amr_results	Sample_196-CAB16I_5B8_amr_results	Sample_197-CAB16H_5B9_uncorrected_amr_results	Sample_198-CAB16R_5C3_amr_results	Sample_199-NC_5_C6_amr_results	Sample_2-CAB12C_1A2_amr_results	Sample_20-CAL109_1C9_amr_results	Sample_200-CAN106_5C7_amr_results	Sample_201-CAD12K_5D1_amr_results	Sample_202-CAD12I_5D2_amr_results	Sample_203-CAD12J_5D3_amr_results	Sample_204-CAD11T_5D4_amr_results	Sample_205-CAD12Q_5D7_amr_results	Sample_206-CAD12P_5D8_amr_results	Sample_207-CAJ10Q_5E5_amr_results	Sample_208-CAM117_5E6_amr_results	Sample_209-CAN10V_5E7_amr_results	Sample_21-CAH102_1D4_amr_results	Sample_210-CAB192_5E9_amr_results	Sample_211-CAM118_5F1_amr_results	Sample_212-CAD14M_5F2_amr_results	Sample_213-CAD14P_5F5_amr_results	Sample_214-NC_5_F6_amr_results	Sample_215-CAC14B_5F7_amr_results	Sample_216-CAD14J_5F8_amr_results	Sample_217-CAC14A_5F9_amr_results	Sample_218-CAC148_5G1_amr_results	Sample_219-CAC147_5G2_amr_results	Sample_22-CAE109_1D6_uncorrected_amr_results	Sample_220-CAB18W_5G3_amr_results	Sample_221-CAB18U_5G5_amr_results	Sample_222-CAB18S_5G7_amr_results	Sample_223-CAB18H_5G9_amr_results	Sample_224-CAB18A_5H1_uncorrected_amr_results	Sample_225-CAB188_5H3_amr_results	Sample_226-CAB18X_5H4_uncorrected_amr_results	Sample_227-CAC14C_5H6_amr_results	Sample_228-CAC14D_5H7_amr_results	Sample_229-CAD14L_5H8_amr_results	Sample_23-CAC111_1D9_amr_results	Sample_230-NC_5_I3_amr_results	Sample_231-CAD12D_5I7_amr_results	Sample_232-CAL107_6A2_amr_results	Sample_233-CAD10L_6A3_amr_results	Sample_234-CAE107_6A5_uncorrected_amr_results	Sample_235-CAC10W_6A7_amr_results	Sample_236-CAB11G_6A9_amr_results	Sample_237-CAC10Y_6B2_uncorrected_amr_results	Sample_238-CAB11I_6B4_amr_results	Sample_239-CAM103_6B5_amr_results	Sample_24-CAM104_1E1_uncorrected_amr_results	Sample_240-CAE10U_6B7_amr_results	Sample_241-CAC12D_6B8_amr_results	Sample_242-CAE10X_6C1_amr_results	Sample_243-CAE10W_6C2_amr_results	Sample_244-CAI10F_6C3_amr_results	Sample_245-CAE10V_6C6_amr_results	Sample_246-CAG11T_6C7_uncorrected_amr_results	Sample_247-CAC11N_6C8_amr_results	Sample_248-CAD13T_6C9_amr_results	Sample_249-CAB15M_6D1_amr_results	Sample_25-NC_1_E4_amr_results	Sample_250-CAG11S_6D2_amr_results	Sample_251-CAD135_6D3_amr_results	Sample_252-CAB15X_6D4_amr_results	Sample_253-CAJ105_6D5_amr_results	Sample_254-CAJ104_6D6_amr_results	Sample_255-CAE10Z_6D7_amr_results	Sample_256-CAH117_6D8_amr_results	Sample_257-CAB15Y_6D9_amr_results	Sample_258-CAC11P_6E1_amr_results	Sample_259-NC_6_E3_amr_results	Sample_26-CAD10K_1E7_uncorrected_amr_results	Sample_260-CAC11Q_6E4_amr_results	Sample_261-CAB15Z_6E5_amr_results	Sample_262-CAH118_6E7_amr_results	Sample_263-CAI10G_6E9_amr_results	Sample_264-CAE10Y_6F1_uncorrected_amr_results	Sample_265-CAN101_6F4_uncorrected_amr_results	Sample_266-CAB160_6F6_uncorrected_amr_results	Sample_267-CAM10N_6F7_uncorrected_amr_results	Sample_268-CAD13U_6F8_uncorrected_amr_results	Sample_269-CAB162_6F9_uncorrected_amr_results	Sample_27-CAE106_1F1_uncorrected_amr_results	Sample_270-CAC11R_6G1_uncorrected_amr_results	Sample_271-CAB161_6G2_uncorrected_amr_results	Sample_272-CAG11V_6G3_uncorrected_amr_results	Sample_273-CAE111_6G4_uncorrected_amr_results	Sample_274-CAE112_6G5_uncorrected_amr_results	Sample_275-CAG11W_6G6_uncorrected_amr_results	Sample_276-CAM10Q_6G7_uncorrected_amr_results	Sample_277-NC_6_G9_uncorrected_amr_results	Sample_278-CAC135_6H1_uncorrected_amr_results	Sample_279-CAC134_6H3_uncorrected_amr_results	Sample_28-CAD10J_1F4_amr_results	Sample_280-CAG11Y_6H4_uncorrected_amr_results	Sample_281-CAI10K_6H5_uncorrected_amr_results	Sample_282-CAD13Y_6H6_amr_results	Sample_283-CAD136_6I2_amr_results	Sample_284-CAC129_6I3_amr_results	Sample_285-CAM10K_6I5_amr_results	Sample_286-CAJ103_6I6_uncorrected_amr_results	Sample_287-CAL10T_6I7_amr_results	Sample_288-CAL10U_7A1_amr_results	Sample_289-CAL10V_7A2_amr_results	Sample_29-CAH100_1F5_amr_results	Sample_290-CAD13P_7A3_amr_results	Sample_291-CAI10D_7A4_amr_results	Sample_292-CAD137_7A5_amr_results	Sample_293-CAB15F_7A7_uncorrected_amr_results	Sample_294-CAB15G_7A8_amr_results	Sample_295-CAI10E_7B1_amr_results	Sample_296-CAH10J_7B2_amr_results	Sample_297-CAD13Q_7B3_amr_results	Sample_298-CAC12A_7B5_amr_results	Sample_299-CAL10W_7B6_uncorrected_amr_results	Sample_3-CAB12B_1A3_amr_results	Sample_30-CAD10I_1F6_amr_results	Sample_300-CAB15H_7B7_amr_results	Sample_301-CAD13R_7B8_amr_results	Sample_302-CAC12C_7C3_amr_results	Sample_303-CAG120_7C8_amr_results	Sample_304-CAE12H_7C9_amr_results	Sample_305-CAC133_7D1_amr_results	Sample_306-CAI10L_7D2_amr_results	Sample_307-NC_7_D3_amr_results	Sample_308-CAC11S_7D4_amr_results	Sample_309-CAC12Z_7D6_amr_results	Sample_31-CAE104_1F7_amr_results	Sample_310-CAG11X_7D7_amr_results	Sample_311-CAB164_7D9_amr_results	Sample_312-CAD13V_7E1_uncorrected_amr_results	Sample_313-CAM10P_7E2_amr_results	Sample_314-CAG11U_7E3_amr_results	Sample_315-CAB165_7E4_amr_results	Sample_316-CAG11G_7E5_amr_results	Sample_317-CAE114_7E6_uncorrected_amr_results	Sample_318-CAC130_7E7_amr_results	Sample_319-CAG11H_7E8_amr_results	Sample_32-CAC10S_1G1_uncorrected_amr_results	Sample_320-CAB166_7E9_uncorrected_amr_results	Sample_321-CAE115_7F1_amr_results	Sample_322-CAH119_7F3_amr_results	Sample_323-CAD13W_7F5_amr_results	Sample_324-CAE12E_7F7_amr_results	Sample_325-CAE116_7F8_uncorrected_amr_results	Sample_326-CAH11A_7F9_amr_results	Sample_327-CAH11C_7G1_amr_results	Sample_328-CAD13X_7G3_amr_results	Sample_329-CAF10F_7G4_uncorrected_amr_results	Sample_33-CAC10R_1G2_amr_results	Sample_330-CAI10J_7G5_amr_results	Sample_331-CAF10G_7G6_amr_results	Sample_332-CAC132_7G7_amr_results	Sample_333-CAB15S_7G8_amr_results	Sample_334-CAG11I_7G9_amr_results	Sample_335-CAH11D_7H1_amr_results	Sample_336-CAJ106_7H2_amr_results	Sample_337-CAH11E_7H3_amr_results	Sample_338-CAE12F_7H4_amr_results	Sample_339-CAF10I_7H5_amr_results	Sample_34-CAC10Q_1G3_amr_results	Sample_340-CAB15R_7H6_amr_results	Sample_341-CAF10E_7H8_amr_results	Sample_342-CAE12G_7H9_amr_results	Sample_343-CAJ108_7I2_amr_results	Sample_344-CAJ107_7I3_uncorrected_amr_results	Sample_345-CAK10L_7I4_amr_results	Sample_346-CAH11F_7I5_amr_results	Sample_347-NC_7_I6_amr_results	Sample_348-CAF11A_8A2_amr_results	Sample_349-CAB17X_8A4_amr_results	Sample_35-CAL104_1G4_uncorrected_amr_results	Sample_350-CAB181_8A7_uncorrected_amr_results	Sample_351-CAF11B_8A9_amr_results	Sample_352-CAK10U_8B1_amr_results	Sample_353-CAJ10P_8B2_uncorrected_amr_results	Sample_354-CAJ10N_8B3_uncorrected_amr_results	Sample_355-CAD14H_8B4_uncorrected_amr_results	Sample_356-CAE11K_8B5_uncorrected_amr_results	Sample_357-CAB180_8B6_uncorrected_amr_results	Sample_358-CAL11B_8C2_uncorrected_amr_results	Sample_359-CAC143_8C3_uncorrected_amr_results	Sample_36-CAB11W_1G5_uncorrected_amr_results	Sample_360-CAC145_8C4_uncorrected_amr_results	Sample_361-CAC141_8C6_uncorrected_amr_results	Sample_362-CAK101_8C7_uncorrected_amr_results	Sample_363-CAB183_8C9_uncorrected_amr_results	Sample_364-CAB186_8D2_uncorrected_amr_results	Sample_365-CAF11C_8D4_uncorrected_amr_results	Sample_366-CAM113_8D5_uncorrected_amr_results	Sample_367-CAC146_8D6_uncorrected_amr_results	Sample_368-CAC142_8E1_uncorrected_amr_results	Sample_369-CAM114_8E3_uncorrected_amr_results	Sample_37-CAL103_1G6_amr_results	Sample_370-CAC149_8E4_uncorrected_amr_results	Sample_371-CAM116_8E6_amr_results	Sample_372-CAK103_8E8_amr_results	Sample_373-CAK102_8E9_amr_results	Sample_374-CAD14K_8F2_uncorrected_amr_results	Sample_375-NC_8_F3_amr_results	Sample_376-CAD12G_8F4_amr_results	Sample_377-CAD12H_8F5_amr_results	Sample_378-CAB198_8G1_amr_results	Sample_379-CAE12Y_8G3_amr_results	Sample_38-CAE103_1G8_amr_results	Sample_380-CAN10X_8G4_amr_results	Sample_381-CAE12Z_8G8_amr_results	Sample_382-CAD12M_8G9_amr_results	Sample_383-CAC140_8H3_amr_results	Sample_384-CAB17W_8H4_amr_results	Sample_385-CAL11A_8H6_amr_results	Sample_386-CAB17R_8H7_amr_results	Sample_387-NC_8_I2_amr_results	Sample_388-CAK10S_9A1_amr_results	Sample_389-CAN171_9A2_uncorrected_amr_results	Sample_39-CAM102_1G9_amr_results	Sample_390-CAM11C_9A5_amr_results	Sample_391-CAM11B_9A6_amr_results	Sample_392-CAF11K_9B6_amr_results	Sample_393-CAF11J_9B7_amr_results	Sample_394-CAF11I_9B8_amr_results	Sample_395-CAE133_9B9_amr_results	Sample_396-CAJ10S_9C3_amr_results	Sample_397-CAD11Y_9C6_amr_results	Sample_398-CAD11X_9C7_amr_results	Sample_399-CAD11W_9C9_amr_results	Sample_4-CAC115_1A4_amr_results	Sample_40-CAC10T_1H3_amr_results	Sample_400-CAC14M_9D2_amr_results	Sample_401-CAC14L_9D4_amr_results	Sample_402-CAD11V_9D8_amr_results	Sample_403-CAB18D_9D9_amr_results	Sample_404-CAD11U_9E1_amr_results	Sample_405-CAB18C_9E2_amr_results	Sample_406-CAC14K_9E3_amr_results	Sample_407-CAK116_9E7_amr_results	Sample_408-NC_9_F1_uncorrected_amr_results	Sample_409-CAF118_9F7_amr_results	Sample_41-NC_1_H4_amr_results	Sample_410-CAF119_9F8_amr_results	Sample_411-CAE11H_9G9_amr_results	Sample_412-CAI110_9H1_amr_results	Sample_413-NC_9_H3_uncorrected_amr_results	Sample_414-CAC13S_9I2_amr_results	Sample_415-CAD13F_9I3_amr_results	Sample_416-CAB17P_9I4_amr_results	Sample_417-CAD146_9I9_amr_results	Sample_418-CAD145_10A1_amr_results	Sample_419-CAD13H_10A3_amr_results	Sample_42-CAB11U_1H7_amr_results	Sample_420-CAB17Q_10A5_amr_results	Sample_421-CAL119_10A6_amr_results	Sample_422-CAL116_10A7_amr_results	Sample_423-CAC13U_10B3_amr_results	Sample_424-CAB17M_10B5_amr_results	Sample_425-CAI10Z_10B9_amr_results	Sample_426-CAM112_10C2_amr_results	Sample_427-CAC13X_10C3_amr_results	Sample_428-CAC13H_10C8_amr_results	Sample_429-NC_10_D4_amr_results	Sample_43-CAC102_1I1_amr_results	Sample_430-CAL114_10D7_amr_results	Sample_431-CAG11J_10D8_amr_results	Sample_432-CAD141_10D9_amr_results	Sample_433-CAB167_10E1_amr_results	Sample_434-CAI10P_10E4_amr_results	Sample_435-CAE12Q_10E5_amr_results	Sample_436-CAC138_10E6_amr_results	Sample_437-CAE12N_10E7_amr_results	Sample_438-CAE12P_10E8_amr_results	Sample_439-CAD142_10E9_amr_results	Sample_44-CAD10F_1I2_amr_results	Sample_440-CAE12R_10F2_amr_results	Sample_441-CAC139_10F3_amr_results	Sample_442-CAN102_10F4_amr_results	Sample_443-CAI10M_10F5_amr_results	Sample_444-CAH11G_10F7_amr_results	Sample_445-CAL118_10F8_amr_results	Sample_446-NC_10_G2_amr_results	Sample_447-CAM10T_10G3_amr_results	Sample_448-CAE12L_10G4_amr_results	Sample_449-CAB15U_10G8_amr_results	Sample_45-CAM100_1I7_amr_results	Sample_450-CAH11H_10H2_amr_results	Sample_451-CAB15T_10H5_amr_results	Sample_452-CAD118_10H6_amr_results	Sample_453-CAE12I_10H7_amr_results	Sample_454-CAF10J_10H8_amr_results	Sample_455-CAE12K_10H9_amr_results	Sample_456-CAI10S_10I5_amr_results	Sample_457-CAM10V_10I6_amr_results	Sample_458-CAD139_10I7_amr_results	Sample_459-CAF10P_11A1_amr_results	Sample_46-CAB11T_1I9_uncorrected_amr_results	Sample_460-CAE117_11A2_amr_results	Sample_461-CAF10Q_11A3_amr_results	Sample_462-CAJ10A_11A4_uncorrected_amr_results	Sample_463-CAE12M_11A5_amr_results	Sample_464-CAI10N_11A6_amr_results	Sample_465-CAC137_11A7_amr_results	Sample_466-CAK10M_11B2_amr_results	Sample_467-CAG127_11B4_amr_results	Sample_468-CAH11I_11B5_uncorrected_amr_results	Sample_469-CAJ10B_11B7_uncorrected_amr_results	Sample_47-CAD132_2A1_amr_results	Sample_470-CAI10R_11B8_uncorrected_amr_results	Sample_471-CAG126_11B9_amr_results	Sample_472-CAD143_11C1_amr_results	Sample_473-CAD144_11C2_amr_results	Sample_474-CAN104_11C4_amr_results	Sample_475-NC_11_C5_amr_results	Sample_48-CAC11J_2A2_amr_results	Sample_49-CAC11K_2A3_amr_results	Sample_5-CAD10T_1A5_amr_results	Sample_50-CAD13J_2A4_amr_results	Sample_51-CAH10G_2A6_amr_results	Sample_52-CAD112_2A7_uncorrected_amr_results	Sample_53-CAC11Z_2A8_amr_results	Sample_54-CAH10D_2A9_amr_results	Sample_55-CAB137_2B1_amr_results	Sample_56-CAH10B_2B2_amr_results	Sample_57-CAC11X_2B3_amr_results	Sample_58-CAF101_2B5_amr_results	Sample_59-CAD111_2B7_amr_results	Sample_6-CAB12A_1A6_amr_results	Sample_60-CAD10W_2B9_amr_results	Sample_61-CAI105_2C1_amr_results	Sample_62-CAD10V_2C3_amr_results	Sample_63-CAC11F_2C4_amr_results	Sample_64-CAL10K_2C6_amr_results	Sample_65-CAI106_2C8_amr_results	Sample_66-CAB13M_2C9_amr_results	Sample_67-CAL10J_2D1_amr_results	Sample_68-CAI108_2D2_amr_results	Sample_69-CAI107_2D3_amr_results	Sample_7-NC_1_A7_amr_results	Sample_70-CAG10I_2D4_amr_results	Sample_71-CAM10C_2D5_amr_results	Sample_72-CAD110_2D6_amr_results	Sample_73-CAG10K_2D7_amr_results	Sample_74-CAB136_2E1_amr_results	Sample_75-CAC11G_2E2_amr_results	Sample_76-CAD114_2E3_amr_results	Sample_77-CAI109_2E4_amr_results	Sample_78-CAC11Y_2E5_amr_results	Sample_79-CAD113_2E6_amr_results	Sample_8-CAH105_1A8_amr_results	Sample_80-CAB139_2E7_amr_results	Sample_81-CAB13A_2E8_amr_results	Sample_82-CAM10G_2F1_amr_results	Sample_83-CAD116_2F5_amr_results	Sample_84-CAB13C_2F6_amr_results	Sample_85-CAF10L_2F8_amr_results	Sample_86-CAB14W_2G3_amr_results	Sample_87-CAB14X_2G9_amr_results	Sample_88-CAG119_2H2_amr_results	Sample_89-CAC124_2H4_amr_results	Sample_9-CAC113_1A9_amr_results	Sample_90-CAL10M_2H5_amr_results	Sample_91-CAJ100_2H7_amr_results	Sample_92-CAG118_2H8_uncorrected_amr_results	Sample_93-NC_2_H9_amr_results	Sample_94-CAM10A_2I1_amr_results	Sample_95-CAM109_2I3_amr_results	Sample_96-CAE10I_2I4_uncorrected_amr_results	Sample_97-CAD10X_2I5_amr_results	Sample_98-CAM10B_2I7_amr_results	Sample_99-CAC11D_2I8_amr_results	Subclass
QUATERNARY AMMONIUM	qacEdelta1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	QUATERNARY AMMONIUM
QUATERNARY AMMONIUM	qacF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	QUATERNARY AMMONIUM
QUATERNARY AMMONIUM	smr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	QUATERNARY AMMONIUM
