ACCESSION,lab_id
ERS23798834,CAF10I
ERS23798835,CAC10R
ERS23798836,CAB15R
ERS23798837,CAF10E
ERS23798838,CAE12G
ERS23798839,CAJ108
ERS23798840,CAJ107
ERS23798841,CAK10L
ERS23798842,CAH11F
ERS23798843,CAF11A
ERS23798844,CAB17X
ERS23798845,CAC10Q
ERS23798846,CAB181
ERS23798847,CAF11B
ERS23798848,CAK10U
ERS23798849,CAJ10P
ERS23798850,CAJ10N
ERS23798851,CAD14H
ERS23798852,CAE11K
ERS23798853,CAB180
ERS23798854,CAL11B
ERS23798855,CAC143
ERS23798856,CAL104
ERS23798857,CAC145
ERS23798858,CAC141
ERS23798859,CAK101
ERS23798860,CAB183
ERS23798861,CAB186
ERS23798862,CAF11C
ERS23798863,CAM113
ERS23798864,CAC146
ERS23798865,CAC142
ERS23798866,CAM114
ERS23798867,CAB11W
ERS23798868,CAC149
ERS23798869,CAM116
ERS23798870,CAK103
ERS23798871,CAK102
ERS23798872,CAD14K
ERS23798873,CAD12G
ERS23798874,CAD12H
ERS23798875,CAB198
ERS23798876,CAE12Y
ERS23798877,CAL103
ERS23798878,CAN10X
ERS23798879,CAE12Z
ERS23798880,CAD12M
ERS23798881,CAC140
ERS23798882,CAB17W
ERS23798883,CAL11A
ERS23798884,CAB17R
ERS23798885,CAK10S
ERS23798886,CAN171
ERS23798887,CAE103
ERS23798888,CAM11C
ERS23798889,CAM11B
ERS23798890,CAF11K
ERS23798891,CAF11J
ERS23798892,CAF11I
ERS23798893,CAE133
ERS23798894,CAJ10S
ERS23798895,CAD11Y
ERS23798896,CAD11X
ERS23798897,CAD11W
ERS23798898,CAM102
ERS23798899,CAB12B
ERS23798900,CAC14M
ERS23798901,CAC14L
ERS23798902,CAD11V
ERS23798903,CAB18D
ERS23798904,CAD11U
ERS23798905,CAB18C
ERS23798906,CAC14K
ERS23798907,CAK116
ERS23798908,CAF118
ERS23798909,CAC10T
ERS23798910,CAF119
ERS23798911,CAE11H
ERS23798912,CAI110
ERS23798913,CAC13S
ERS23798914,CAD13F
ERS23798915,CAB17P
ERS23798916,CAD146
ERS23798917,CAD145
ERS23798918,CAD13H
ERS23798919,CAB17Q
ERS23798920,CAL119
ERS23798921,CAL116
ERS23798922,CAC13U
ERS23798923,CAB17M
ERS23798924,CAI10Z
ERS23798925,CAM112
ERS23798926,CAC13X
ERS23798927,CAC13H
ERS23798928,CAB11U
ERS23798929,CAL114
ERS23798930,CAG11J
ERS23798931,CAD141
ERS23798932,CAB167
ERS23798933,CAI10P
ERS23798934,CAE12Q
ERS23798935,CAC138
ERS23798936,CAE12N
ERS23798937,CAE12P
ERS23798938,CAD142
ERS23798939,CAC102
ERS23798940,CAE12R
ERS23798941,CAC139
ERS23798942,CAN102
ERS23798943,CAI10M
ERS23798944,CAH11G
ERS23798945,CAL118
ERS23798946,CAM10T
ERS23798947,CAE12L
ERS23798948,CAB15U
ERS23798949,CAD10F
ERS23798950,CAH11H
ERS23798951,CAB15T
ERS23798952,CAD118
ERS23798953,CAE12I
ERS23798954,CAF10J
ERS23798955,CAE12K
ERS23798956,CAI10S
ERS23798957,CAM10V
ERS23798958,CAD139
ERS23798959,CAF10P
ERS23798960,CAM100
ERS23798961,CAE117
ERS23798962,CAF10Q
ERS23798963,CAJ10A
ERS23798964,CAE12M
ERS23798965,CAI10N
ERS23798966,CAC137
ERS23798967,CAK10M
ERS23798968,CAG127
ERS23798969,CAH11I
ERS23798970,CAJ10B
ERS23798971,CAB11T
ERS23798972,CAI10R
ERS23798973,CAG126
ERS23798974,CAD143
ERS23798975,CAD144
ERS23798976,CAN104
ERS23798977,CAD132
ERS23798978,CAC11J
ERS23798979,CAC11K
ERS23798980,CAC115
ERS23798981,CAD13J
ERS23798982,CAH10G
ERS23798983,CAD112
ERS23798984,CAC11Z
ERS23798985,CAH10D
ERS23798986,CAB137
ERS23798987,CAH10B
ERS23798988,CAC11X
ERS23798989,CAF101
ERS23798990,CAD111
ERS23798991,CAD10T
ERS23798992,CAD10W
ERS23798993,CAI105
ERS23798994,CAD10V
ERS23798995,CAC11F
ERS23798996,CAL10K
ERS23798997,CAI106
ERS23798998,CAB13M
ERS23798999,CAL10J
ERS23799000,CAI108
ERS23799001,CAI107
ERS23799002,CAB12A
ERS23799003,CAG10I
ERS23799004,CAM10C
ERS23799005,CAD110
ERS23799006,CAG10K
ERS23799007,CAB136
ERS23799008,CAC11G
ERS23799009,CAD114
ERS23799010,CAI109
ERS23799011,CAC11Y
ERS23799012,CAD113
ERS23799013,CAB139
ERS23799014,CAB13A
ERS23799015,CAM10G
ERS23799016,CAD116
ERS23799017,CAB13C
ERS23799018,CAF10L
ERS23799019,CAB14W
ERS23799020,CAB14X
ERS23799021,CAG119
ERS23799022,CAC124
ERS23799023,CAH105
ERS23799024,CAL10M
ERS23799025,CAJ100
ERS23799026,CAG118
ERS23799027,CAM10A
ERS23799028,CAM109
ERS23799029,CAE10I
ERS23799030,CAD10X
ERS23799031,CAM10B
ERS23799032,CAC11D
ERS23799033,CAC113
